stage,scenario,selection_objective,universe_filter,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,group_normalization,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,selected_from_in_sample,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,period
in_sample_ranking,grid_h20_cap7_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h20_cap7_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h20_cap8_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h20_cap8_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h20_cap9_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.09,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h20_cap9_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.09,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.0858445252836963,0.2020703955600982,-0.3444787242734821,0.2599392597537834,0.8384343635904703,0.8732193002178199,0.5865976076933977,3.2995167923235096,8.511651816312543,14.246031746031743,0.7143902394233386,-0.2389885463396326,0.5676195974040985,0.1826665222693473,-0.1347767691294114,0.3212017562528757,0.7143902394233386,0.0272448959350341,0.2050093500673023,-0.2389885463396326,0.5676195974040985,0.1826665222693473,,,,,,
in_sample_ranking,grid_h12_cap9_sector25_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.09,0.25,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,0.9699494789455132,0.1849899907602554,-0.3814170963207695,0.2853400436800599,0.7384326155378111,0.7760860810547446,0.4850070763599962,3.5673834818368744,8.511651816312543,8.547619047619047,0.7460219417578174,-0.2463326310782027,0.5432491463305135,0.1822719792764953,-0.0963284383416015,0.4201508366927038,0.7460219417578174,0.0115636144983364,0.2282787276861703,-0.2463326310782027,0.5432491463305135,0.1822719792764953,,,,,,
in_sample_ranking,grid_h12_cap9_sector30_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,12.0,0.09,0.3,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,0.9699494789455132,0.1849899907602554,-0.3814170963207695,0.2853400436800599,0.7384326155378111,0.7760860810547446,0.4850070763599962,3.5673834818368744,8.511651816312543,8.547619047619047,0.7460219417578174,-0.2463326310782027,0.5432491463305135,0.1822719792764953,-0.0963284383416015,0.4201508366927038,0.7460219417578174,0.0115636144983364,0.2282787276861703,-0.2463326310782027,0.5432491463305135,0.1822719792764953,,,,,,
in_sample_ranking,grid_h20_cap7_sector35_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.07,0.35,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.076333383489798,0.2006958498714277,-0.3483192535150073,0.2586023701088659,0.8370468757700927,0.8718393226242674,0.5761836242072124,3.3045236463331054,8.511651816312543,14.246031746031743,0.7091667534553648,-0.2464144305515472,0.5696098792378378,0.1925184033801192,-0.1347767691294114,0.3287357879179085,0.7091667534553648,0.0271595351997014,0.2048361709300652,-0.2464144305515472,0.5696098792378378,0.1925184033801192,,,,,,
in_sample_ranking,grid_h20_cap8_sector35_hold05,IR_vs_QQQ_then_CAGR_then_Sharpe,leadership_liquid,20.0,0.08,0.35,0.05,qqq_breadth,sector,2018-01-02,2021-12-31,1.076333383489798,0.2006958498714277,-0.3483192535150073,0.2586023701088659,0.8370468757700927,0.8718393226242674,0.5761836242072124,3.3045236463331054,8.511651816312543,14.246031746031743,0.7091667534553648,-0.2464144305515472,0.5696098792378378,0.1925184033801192,-0.1347767691294114,0.3287357879179085,0.7091667534553648,0.0271595351997014,0.2048361709300652,-0.2464144305515472,0.5696098792378378,0.1925184033801192,,,,,,
