comparison_layer,strategy,display_name,as_of,rolling_36m_capm_alpha_vs_qqq
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-11,0.022503398443152533
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-12,0.021822479775093356
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-13,0.01982369820104492
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-14,0.017185257332910313
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-18,0.013519762054536932
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-19,0.010726585324709196
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-20,0.0024757872389088997
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-21,0.00030662938071692364
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-24,0.002804640829580226
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-25,0.0001644573402853437
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-26,-0.0018506412451496739
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-27,-0.006259207376408921
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-28,-0.0006848830413236917
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-01-31,0.010423377482667629
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-01,0.010802092809786742
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-02,0.014100154218138917
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-03,0.020268236166041117
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-04,0.017669044449424173
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-07,0.016756206052949953
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-08,0.018484283862599517
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-09,0.018350512351829995
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-10,0.021821327778410116
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-11,0.02538731216603584
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-14,0.02405849392106098
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-15,0.02457459805033201
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-16,0.02617949831283211
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-17,0.02787490224675232
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-18,0.028528899674042735
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-22,0.02844831822420549
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-23,0.030877504246220305
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-24,0.030769375643035966
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-25,0.03223763735239139
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-02-28,0.03181272732239239
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-01,0.029380693791920088
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-02,0.036764351461049116
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-03,0.038653143454763644
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-04,0.04287673716696935
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-07,0.04274765166332439
full_strategy,russell_1000_multi_factor_defensive,defensive_baseline,2022-03-08,0.04434601261458193
