comparison_layer,strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,research_group,universe_filter,holdings_count,single_name_cap,sector_cap,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,hold_bonus,group_normalization,residual_proxy
research_only,struct_h12_cap10_sector20,struct_h12_cap10_sector20,5.0,2023+,2023-01-03,2026-04-02,1.8558841120203478,0.38188511352032695,-0.26307512383506726,0.2838360762203195,1.2862575343903855,1.785327453889553,1.4516200085863937,4.654240506329114,12.020886075949367,11.101840490797546,0.8477138087320516,0.4167679381233018,1.2141516327644828,0.8257557981302124,-0.13789926514483908,0.38188511352032695,offensive_ablation,leadership_liquid,12,0.1,0.2,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,0.0,Full Sample,2018-01-02,2026-04-02,2.9700684453605697,0.18198836889491843,-0.39305408853497015,0.2701595338342913,0.7563510329776795,0.8541452358877347,0.46301100587260996,4.100776062416998,9.579930278884461,8.852459016393443,0.6273338432917651,0.04351689144207303,0.7031316889455292,0.3652000738140362,-0.13560699237886964,0.35585611817523155,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,0.0,2022,2022-01-03,2022-12-30,-0.13560699237886964,-0.1370887007092234,-0.16319946588171763,0.11454548610237944,-1.2194511255620943,-1.0056883603839117,-0.8400070427226853,3.76042243767313,6.070637119113573,3.7768924302788847,0.1385007488454153,0.6903015292378465,0.0,0.22371038123137607,-0.13560699237886964,0.35585611817523155,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,0.0,2023+,2023-01-03,2026-04-02,1.6850206537000267,0.35585611817523155,-0.2656404229158129,0.286008901461517,1.2118946529082657,1.6606895240136017,1.3396158395968596,4.643966244725738,12.020886075949367,11.101840490797546,0.8643342629230627,0.33687467394165477,1.1785239074764122,0.8756325996461677,-0.13560699237886964,0.35585611817523155,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,5.0,Full Sample,2018-01-02,2026-04-02,2.9035604386796514,0.17956932924828095,-0.3931999645535218,0.2701567548467999,0.7487542065210773,0.8458397405747756,0.45668704332713195,4.100776062416998,9.579930278884461,8.852459016393443,0.6273442116320198,0.03502059529467511,0.6994652802961613,0.3688233847247985,-0.13720934849258937,0.352709803195397,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,5.0,2022,2022-01-03,2022-12-30,-0.13720934849258937,-0.13870712442322752,-0.16319946588171763,0.11451088725527828,-1.236112673652104,-1.0007597088586873,-0.8499238871514355,3.76042243767313,6.070637119113573,3.7768924302788847,0.1384210849652222,0.6839630439624359,-0.0011209241210952186,0.2261475840407113,-0.13720934849258937,0.352709803195397,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector30,struct_h12_cap10_sector30,5.0,2023+,2023-01-03,2026-04-02,1.664858680196267,0.352709803195397,-0.2658470981530442,0.28602148577205283,1.2036974504998714,1.6488790260152995,1.3267393386868842,4.643966244725738,12.020886075949367,11.101840490797546,0.8643754814558863,0.3267535092410132,1.1741839659853393,0.8827086810736393,-0.13720934849258937,0.352709803195397,offensive_ablation,leadership_liquid,12,0.1,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector40,struct_h12_cap10_sector40,0.0,Full Sample,2018-01-02,2026-04-02,2.854391826299228,0.17775756516220942,-0.38023208506668604,0.271582603857322,0.7404970656849379,0.8409184042819449,0.4674975420105167,4.080565239043825,9.579930278884461,8.852459016393443,0.6343088690139682,0.030166912570488185,0.6921205563268243,0.36357887978317255,-0.13560699237886964,0.3421331574643174,offensive_ablation,leadership_liquid,12,0.1,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector40,struct_h12_cap10_sector40,0.0,2022,2022-01-03,2022-12-30,-0.13560699237886964,-0.1370887007092234,-0.16319946588171763,0.11454548610237944,-1.2194511255620943,-1.0056883603839117,-0.8400070427226853,3.76042243767313,6.070637119113573,3.7768924302788847,0.1385007488454153,0.6903015292378465,0.0,0.22371038123137607,-0.13560699237886964,0.3421331574643174,offensive_ablation,leadership_liquid,12,0.1,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,struct_h12_cap10_sector40,struct_h12_cap10_sector40,0.0,2023+,2023-01-03,2026-04-02,1.597850053942162,0.3421331574643174,-0.265640422915813,0.2893730960143337,1.165888623305084,1.5856657347328285,1.2879559282012831,4.643966244725738,12.020886075949367,11.101840490797546,0.8766222038941384,0.2941244077344428,1.145588104854337,0.8594342447786929,-0.13560699237886964,0.3421331574643174,offensive_ablation,leadership_liquid,12,0.1,0.4,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
